Año,Tipo de recogida,Bilketa mota,Clasificación,Sailkapena,Subclasificación,Azpisailkapena,Ambito,Eremua,Total (kg)
2010,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,,,325099
2010,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Contenedores via pública,Bide publikoko edukiontziak,URBANO,HIRIA,310340
2010,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Contenedores vía pública. Recogida lateral,Bide publikoko edukiontziak. Alboko bilketa,URBANO,HIRIA,7517285
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Papel y cartón de centros escolares y administración,Ikastetxeetako eta administrazioetako papera eta kartoia,URBANO,HIRIA,810856
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón vía pública (Centro),Bide publikoko edukiontziak (erdialdea),URBANO,HIRIA,1369180
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón puerta a puerta (barrios),atez ateko kartoia (auzoak),URBANO,HIRIA,753430
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón comercial (Parte Vieja),Merkataritzako kartoia (Parte Zaharra),URBANO,HIRIA,273136
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón garbigunes,Garbiguneetako kartoia,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2010,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Contenedores vía pública recogida lateral,Bide publikoko edukiontziak. Alboko bilketa,URBANO,HIRIA,3019908
2010,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Contenedores vía pública y grandes productores recogida trasera,Bide publikoko edukiontziak eta ekoizle handiak. Atzeko bilketa,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Parte Vieja,Parte Zaharra,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2010,Recogida selectiva,Gaikako bilketa,Vidrio,Beira,Contenedores vía pública de vidrio,Bide publikoko beira edukiontziak,URBANO,HIRIA,4935848
